name,personality,total votes,first letter votes percentage,second letter votes percentage,third letter votes percentage,fourth letter votes percentage,first function,second function,third function,fourth function,Instinctual_Variant_type,Tritype_type,Socionics_type,Big5_type,Attitudinal_Psyche_type,Temperaments_type,fourletters_type_votes,Instinctual_Variant_total_votes,Tritype_total_votes,Socionics_total_votes,Big5_total_votes,Attitudinal_Psyche_total_votes,Temperaments_total_votes,Instinctual_Variant_type_votes,Tritype_type_votes,Socionics_type_votes,Big5_type_votes,Attitudinal_Psyche_type_votes,Temperaments_type_votes
Fabricio Di Paolo (Lord Vinheteiro),estj,142,58%,66%,99%,92%,Te,Si,Ne,Fi,sp/so,145,LSI,SCOEN,XXXX,Choleric-Melancholic,76,8,14,10,7,0,12,8,9,8,4,0,11
Fernanda Concon,estj,135,97%,59%,69%,97%,Te,Si,Ne,Fi,so/sp,137,LSE,SLOAN,VFEL,Choleric-Sanguine,75,12,15,7,8,5,25,10,12,5,3,2,21
Haewon (NMIXX),estj,120,96%,96%,95%,69%,Te,Si,Ne,Fi,so/sp,136,LSE,SCOEN,VFLE,Phlegmatic-Choleric,79,19,19,13,12,9,16,8,8,7,5,4,7
Archangel Michael,estj,152,93%,46%,93%,66%,Te,Si,Ne,Fi,sx/sp,137,LSE,SCOAI,VLFE,Choleric-Melancholic,65,11,12,6,4,3,10,4,4,2,2,2,5
Shinzo Abe (安倍 晋三),estj,117,62%,91%,68%,95%,Te,Si,Ne,Fi,so/sp,359,LIE,RCOAN,LVFE,Sanguine-Choleric,60,18,18,13,8,5,11,16,5,7,5,2,6
Zakir Naik,estj,149,92%,54%,97%,58%,Te,Si,Ne,Fi,so/sp,153,LSE,SCOEN,LVFE,Phlegmatic-Sanguine,74,13,8,9,8,1,9,9,6,4,6,1,4
Kim Dayeon (Kep1er),estj,126,99%,96%,98%,81%,Te,Si,Ne,Fi,so/sp,316,LSE,SCOAN,VFLE,Choleric-Phlegmatic,97,10,15,6,9,2,14,6,11,4,7,2,13
Piers Morgan,estj,122,100%,86%,98%,83%,Te,Si,Ne,Fi,so/sp,368,LSE,SLOEN,VFEL,Choleric [Dominant],90,15,9,15,5,1,12,12,9,7,5,1,11
Mansur Yavaş,estj,131,92%,93%,96%,98%,Te,Si,Ne,Fi,sp/so,136,LSE,SCOAN,ELVF,Phlegmatic-Choleric,109,7,8,6,3,2,8,5,5,6,2,1,5
MEIKO,estj,110,100%,94%,77%,89%,Te,Si,Ne,Fi,sp/so,371,LSE,SLOAI,LFEV,Choleric-Sanguine,68,10,11,3,5,2,21,5,7,3,4,2,12
Rafa Kalimann,estj,125,98%,54%,45%,98%,Fe,Si,Ne,Ti,so/sp,136,ESI,SCOAN,VEFL,Phlegmatic-Choleric,56,13,11,1,5,2,16,11,11,1,5,1,10
Cristina Fernández de Kirchner,estj,135,99%,56%,61%,99%,Te,Si,Ne,Fi,so/sx,371,LIE,SCOEI,XXXX,Choleric-Phlegmatic,70,8,8,2,5,0,19,5,5,2,3,0,8
Tiffany Pollard,estj,83,100%,76%,77%,71%,Te,Si,Ne,Fi,sx/sp,837,SLE,SLOEN,VFLE,Choleric [Dominant],41,20,15,12,9,4,19,18,8,6,5,3,16
José Antonio Kast,estj,102,53%,95%,92%,98%,Te,Si,Ne,Fi,so/sx,136,LSE,SCOEN,VLEF,Phlegmatic [Dominant],48,14,17,3,7,2,13,6,7,2,4,1,10
Paulo Kogos,estj,91,91%,70%,98%,73%,Te,Si,Ne,Fi,so/sp,614,LSI,SLOEI,LFVE,Choleric [Dominant],61,20,16,13,6,4,22,11,8,10,4,3,19
Edmund Burke,estj,134,90%,62%,99%,64%,Te,Si,Ne,Fi,so/sp,513,ILE,SCUEI,LVEF,Sanguine-Phlegmatic,72,5,4,12,3,1,4,3,3,7,2,1,2
Harry S. Truman,estj,114,89%,93%,75%,100%,Te,Si,Ne,Fi,so/sp,163,ESI,SLOEN,VFEL,Choleric [Dominant],70,10,9,14,8,1,8,6,5,8,4,1,7
Berlin Edmond (Berleezy),estj,111,98%,86%,96%,75%,Te,Si,Ne,Fi,sp/so,738,SLE,SLOEN,VLFE,Sanguine-Choleric,82,12,11,9,7,2,15,11,9,8,5,2,11
Ana Kasparian,estj,89,97%,55%,55%,88%,Te,Si,Ne,Fi,sx/so,136,EIE,SLOEN,VLEF,Choleric [Dominant],40,20,15,9,10,1,14,14,8,7,6,1,12
Eduardo Benvenuti (BRKsEDU),estj,90,76%,96%,68%,94%,Te,Si,Ne,Fi,sp/so,351,LSE,SCOEN,LVFE,Phlegmatic [Dominant],52,13,13,10,11,8,19,10,9,7,4,4,14
Jihoon (TREASURE),estj,112,99%,59%,92%,96%,Te,Si,Ne,Fi,so/sp,316,LIE,SLOAN,VFEL,Choleric-Sanguine,59,13,14,2,4,2,9,8,6,1,3,2,8
Ron DeSantis,estj,73,93%,77%,92%,85%,Te,Si,Ne,Fi,so/sp,361,SLE,SCOEI,VLFE,Choleric-Phlegmatic,46,22,15,13,12,3,13,10,6,5,7,2,8
Kaitlin Bennett,estj,102,98%,99%,82%,85%,Te,Si,Ne,Fi,so/sp,683,LSE,SCUEN,LVFE,Choleric-Sanguine,76,9,11,9,5,1,11,5,4,4,2,1,6
Reborn Live,estj,73,86%,60%,90%,97%,Te,Si,Ne,Fi,so/sp,863,LSI,SLOEN,VFLE,Choleric [Dominant],39,21,13,7,7,7,15,18,6,5,4,4,9
Kevin O'Leary,estj,116,97%,72%,98%,94%,Te,Si,Ne,Fi,sp/so,836,LSE,XXXX,XXXX,Choleric [Dominant],80,8,7,3,0,0,4,6,3,2,0,0,4
"Logan ""Logic"" Sanders (Sanders Sides)",estj,82,74%,93%,99%,94%,Te,Si,Ne,Fi,so/sx,513,LSE,RCOEI,LVFE,Phlegmatic-Choleric,60,18,14,3,6,5,17,9,11,2,3,4,9
Saweetie,estj,124,90%,74%,93%,73%,Te,Si,Ne,Fi,sp/so,378,ILI,SCUEN,XXXX,Sanguine-Choleric,58,11,9,2,3,0,5,7,3,1,2,0,5
Cyprien,estj,116,70%,54%,59%,59%,Te,Si,Ne,Fi,so/sp,136,LSE,RCOAI,VFLE,Phlegmatic [Dominant],42,7,7,3,3,2,7,6,2,3,3,2,3
Larry King,estj,102,96%,94%,60%,99%,Te,Si,Ne,Fi,so/sp,361,ESE,SCOAI,XXXX,Phlegmatic [Dominant],58,10,8,8,1,0,11,10,4,4,1,0,10
Hunter Avallone,estj,98,90%,77%,95%,88%,Te,Si,Ne,Fi,so/sp,837,SLE,SCUEI,VFLE,Sanguine-Choleric,66,12,11,7,10,2,6,9,5,4,6,2,6
Ana Maria Polo,estj,91,100%,87%,100%,99%,Te,Si,Ne,Fi,sp/so,827,LIE,SCOEN,XXXX,Choleric [Dominant],79,11,12,2,3,0,20,6,4,1,2,0,15
Sieun (STAYC),estj,102,96%,59%,55%,94%,Te,Si,Ne,Fi,sp/so,369,LSE,SCOAI,VLFE,Phlegmatic-Sanguine,56,13,6,5,5,4,11,10,4,3,3,2,4
"Joey ""CoCo"" Diaz",estj,91,95%,92%,59%,48%,Se,Si,Ne,Ni,sx/so,872,SLE,SCUAN,VFLE,Choleric-Sanguine,37,14,8,12,4,2,6,11,4,8,2,2,4
Atila Iamarino (Nerdologia),estj,94,53%,55%,96%,64%,Te,Si,Ne,Fi,so/sp,512,LIE,SCOEI,FVLE,Phlegmatic-Choleric,41,8,7,5,9,4,8,5,2,2,4,2,3
Joe Bartolozzi,estj,99,98%,74%,99%,75%,Te,Si,Ne,Fi,sp/so,683,SLE,SLOAI,LVFE,Choleric [Dominant],63,10,7,1,10,3,14,4,3,1,5,2,8
Alex Ferguson,estj,104,58%,76%,95%,74%,Te,Si,Ne,Fi,so/sp,836,SLE,SCOEN,VFLE,Choleric [Dominant],38,6,3,9,5,3,10,4,2,5,3,3,6
Murat Soner,estj,103,91%,61%,99%,62%,Te,Si,Ne,Fi,so/sp,513,LSE,RLOEI,VLFE,Melancholic-Choleric,55,5,7,5,7,1,10,4,4,3,4,1,6
Heidi Klum,estj,110,97%,95%,64%,83%,Te,Si,Ne,Fi,so/sp,317,ESE,SCOEN,VFEL,Choleric-Sanguine,63,10,4,6,3,1,7,6,2,5,2,1,5
Hwang Minhyun (NU'EST),estj,107,72%,92%,61%,100%,Te,Si,Ne,Fi,so/sp,152,ESI,SCOAI,VEFL,Phlegmatic [Dominant],42,10,8,5,5,1,6,7,6,5,4,1,5
Catherine of Aragon,estj,97,89%,99%,59%,99%,Te,Si,Ne,Fi,so/sp,136,ESE,SLOAN,XXXX,Melancholic-Sanguine,47,10,8,5,3,0,6,9,4,3,2,0,6
John Wayne,estj,87,62%,98%,99%,56%,Te,Si,Ne,Fi,sp/so,863,SEE,SCOEN,XXXX,Choleric-Phlegmatic,45,7,9,6,2,0,8,7,7,3,2,0,7
John D. Rockefeller,estj,99,59%,89%,99%,99%,Te,Si,Ne,Fi,sp/so,135,LSE,SCOEN,VLFE,Choleric-Phlegmatic,50,4,4,12,5,3,5,1,3,6,5,3,4
Priyanka Chopra,estj,106,99%,86%,58%,87%,Te,Si,Ne,Fi,so/sp,368,SEE,SCOEI,XXXX,Phlegmatic-Sanguine,46,9,6,3,2,0,2,4,4,2,1,0,2
Cerberus,estj,92,65%,88%,97%,65%,Te,Si,Ne,Fi,sp/so,863,LIE,RLUEN,FELV,Choleric [Dominant],48,6,6,4,2,2,10,2,4,2,1,1,5
Aishwarya Rai,estj,122,52%,52%,57%,98%,Te,Si,Ne,Fi,sp/so,385,ESE,SLUAI,XXXX,Phlegmatic-Choleric,56,7,1,5,1,0,3,4,1,2,1,0,2
Jeff Cavaliere (ATHLEAN-X),estj,91,62%,57%,65%,98%,Te,Si,Ne,Fi,so/sp,316,LSE,RCOAI,LVFE,Phlegmatic-Choleric,45,7,11,8,4,1,4,5,5,5,2,1,2
Christian Walker,estj,55,84%,47%,89%,85%,Te,Si,Ne,Fi,sx/sp,385,LSI,RLOEI,VFLE,Choleric-Sanguine,21,15,16,14,9,9,13,8,10,8,6,8,12
Cronus / Kronos,estj,82,80%,85%,100%,100%,Te,Si,Ne,Fi,sp/sx,683,LSI,SLUEI,VLFE,Choleric [Dominant],63,7,10,1,5,3,17,4,3,1,3,2,9
Gustavo Sanches (Davy Jones),estj,65,85%,94%,98%,98%,Te,Si,Ne,Fi,sp/sx,316,LSE,RCOEN,LVFE,Choleric [Dominant],49,12,9,6,11,1,16,7,6,3,3,1,6
Kyo Kaneko,estj,65,100%,78%,82%,75%,Te,Si,Ne,Fi,sp/sx,371,LSE,SLOAN,VEFL,Sanguine-Choleric,49,16,14,4,9,2,8,12,7,2,5,2,4
Sharon Osbourne,estj,85,99%,55%,53%,94%,Te,Si,Ne,Fi,so/sx,286,ESE,SCOEN,XXXX,Sanguine-Choleric,42,7,11,8,1,0,8,4,6,5,1,0,7
Carlito (Raphaël Carlier),estj,86,90%,56%,84%,43%,Te,Si,Fe,Fi,sx/so,378,XXXX,SLUEI,VFEL,Choleric [Dominant],34,8,13,0,2,1,9,7,4,0,2,1,4
Stas Vasilyev (aikakprosto / max power),estj,47,94%,68%,85%,81%,Te,Si,Ne,Fi,sx/so,136,LSE,SLOEI,ELVF,Choleric [Dominant],26,11,11,8,9,11,23,6,4,6,7,3,20
Bill O'Reilly,estj,79,96%,92%,99%,100%,Te,Si,Ne,Fi,so/sp,836,LSI,SCOEN,VFEL,Choleric [Dominant],70,11,7,9,2,1,6,11,6,4,1,1,6
Luiz Carlos Alborghetti,estj,60,98%,95%,98%,97%,Te,Si,Ne,Fi,so/sp,863,SLE,SLOEN,VLEF,Choleric [Dominant],56,11,10,4,7,1,17,3,6,2,6,1,15
Bette Davis,estj,75,100%,79%,99%,89%,Te,Si,Ne,Fi,sx/so,837,SLE,SCUEI,XXXX,Choleric [Dominant],57,10,7,9,1,0,7,6,6,8,1,0,6
Suga (BTS),intj,2904,99%,91%,94%,69%,Ni,Te,Fi,Se,sp/sx,538,ILI,RCOEI,VLEF,Melancholic [Dominant],1948,380,348,161,185,79,319,320,140,137,89,61,203
Dream (DreamWasTaken),intj,2074,50%,96%,95%,90%,Ni,Te,Fi,Se,sp/sx,385,LIE,SCOEI,VLEF,Choleric-Melancholic,937,305,313,176,127,89,236,183,126,87,81,62,151
Friedrich Nietzsche,intj,1541,97%,98%,91%,93%,Ni,Te,Fi,Se,sx/sp,548,IEI,RLUEI,ELVF,Melancholic-Choleric,1335,284,271,229,119,98,207,195,195,106,75,35,101
Hades,intj,1267,99%,80%,99%,63%,Ni,Te,Fi,Se,sp/sx,549,ILI,RCUEI,LVEF,Melancholic [Dominant],539,136,106,68,40,32,108,92,55,56,21,20,75
Cillian Murphy,intj,858,98%,73%,95%,91%,Ni,Te,Fi,Se,sp/so,594,ILI,RCOEI,LVFE,Melancholic-Phlegmatic,589,85,64,80,32,24,74,64,37,35,24,11,48
Stanley Kubrick,intj,834,99%,68%,99%,52%,Ni,Te,Fi,Se,sp/sx,514,ILI,RLOEI,LVFE,Choleric-Melancholic,428,69,89,72,37,19,66,61,49,63,29,12,43
Hajime Isayama,intj,797,98%,97%,96%,91%,Ni,Te,Fi,Se,sp/so,513,ILI,RCOEI,LVEF,Phlegmatic-Choleric,697,56,65,63,25,8,52,49,29,45,19,6,37
Athena,intj,629,90%,96%,99%,97%,Ni,Te,Fi,Se,sp/sx,153,LSI,RCOEI,LVFE,Choleric-Melancholic,531,76,93,39,33,23,62,32,68,31,26,18,37
Bobby Fischer,intj,576,96%,98%,99%,95%,Ni,Te,Fi,Se,sp/sx,538,LSI,RLOEI,VLEF,Melancholic-Choleric,533,78,87,80,40,26,64,55,52,62,31,17,45
Sun Tzu,intj,538,94%,95%,99%,98%,Ni,Te,Fi,Se,sp/so,583,LSI,RCOEI,LVFE,Melancholic-Choleric,483,81,92,88,49,35,65,60,46,70,43,33,56
Ayn Rand,intj,465,77%,94%,98%,97%,Ni,Te,Fi,Se,so/sp,135,LIE,RLOEI,VLEF,Melancholic-Choleric,337,77,80,90,37,34,54,33,34,45,30,19,41
Christopher Nolan,intj,564,97%,98%,98%,86%,Ni,Te,Fi,Se,sx/sp,513,LII,RCOEI,VLFE,Melancholic-Choleric,465,50,45,60,26,20,38,39,33,32,22,14,36
D'Angelo Wallace,intj,472,98%,97%,97%,95%,Ni,Te,Fi,Se,sp/sx,153,ILI,RCOEI,LVEF,Phlegmatic [Dominant],433,69,80,32,26,11,47,47,24,16,15,11,28
Jane Austen,intj,521,99%,96%,90%,85%,Ni,Te,Fi,Se,sp/sx,514,ILI,RCOEI,LVEF,Phlegmatic-Melancholic,389,47,64,34,23,13,44,39,49,28,19,12,38
Jean-Paul Sartre,intj,429,96%,98%,92%,89%,Ni,Te,Fi,Se,sx/sp,541,ILI,RCOEI,LVEF,Melancholic-Phlegmatic,368,64,49,66,25,23,46,47,41,61,22,18,28
Sakura Miyawaki,intj,483,98%,93%,75%,64%,Ni,Te,Fi,Se,sp/so,359,LIE,RLOEI,VLEF,Melancholic-Choleric,284,65,66,22,33,16,67,31,30,12,17,10,24
Dilma Rousseff,intj,469,93%,63%,92%,89%,Ni,Te,Fi,Se,sp/so,152,LSI,RCOAI,VELF,Choleric-Phlegmatic,276,48,47,28,26,15,52,36,21,13,14,10,32
Eugene Lee Yang,intj,566,97%,54%,54%,53%,Ni,Te,Fi,Se,sx/sp,378,ESI,RLOEI,FLEV,Melancholic-Choleric,279,44,31,16,20,9,30,21,9,8,8,3,14
William James Sidis,intj,385,98%,97%,97%,60%,Ni,Te,Fi,Se,sp/so,513,LII,RCUEI,LVEF,Melancholic [Dominant],221,61,53,48,28,21,49,36,30,33,19,17,40
Trent Reznor,intj,321,99%,83%,72%,82%,Ni,Te,Fi,Se,sx/sp,548,ILI,RLOEI,ELVF,Melancholic [Dominant],223,69,53,31,30,20,39,58,33,19,26,9,26
Augustus,intj,391,95%,76%,98%,99%,Ni,Te,Fi,Se,sp/so,385,LIE,RCOEI,VLFE,Choleric-Melancholic,278,39,36,43,21,15,30,26,21,24,11,9,25
Mori Calliope,intj,338,94%,53%,56%,53%,Ni,Te,Fi,Se,sp/sx,386,LIE,RLOAI,FEVL,Melancholic-Choleric,161,38,32,31,18,10,33,33,17,21,12,5,29
Jay-Z,intj,345,87%,88%,96%,90%,Ni,Te,Fi,Se,sp/sx,358,LIE,RCOEI,LFVE,Choleric-Phlegmatic,262,40,35,27,14,6,23,21,23,23,13,4,17
Chris Cornell,intj,295,96%,72%,63%,67%,Ni,Te,Fi,Se,sp/sx,458,ILI,RLOEI,ELVF,Melancholic [Dominant],180,40,37,32,19,13,25,26,24,15,15,10,23
G.W.F. Hegel,intj,281,97%,99%,95%,94%,Ni,Te,Fi,Se,sp/so,514,LII,RCOEI,LVFE,Phlegmatic-Melancholic,242,29,28,63,17,16,27,17,21,25,11,14,15
Dave Brown (Boyinaband),intj,368,63%,98%,85%,69%,Ni,Te,Fi,Se,sp/so,458,EIE,RLUEI,FEVL,Melancholic-Sanguine,133,18,26,17,15,1,14,14,12,6,6,1,7
C. S. Lewis,intj,342,99%,99%,59%,63%,Ni,Te,Fi,Se,so/sp,145,LII,RCOAI,LVFE,Melancholic-Phlegmatic,191,24,28,21,10,9,22,17,19,15,8,5,16
Dave Powers (Objective Personality),intj,319,49%,67%,97%,94%,Te,Te,Fi,Fi,so/sp,358,LIE,SCOEI,LVFE,Melancholic-Choleric,148,34,27,36,13,5,16,20,10,23,7,3,8
sakkowo,intj,243,63%,65%,65%,60%,Ni,Te,Fi,Se,sp/sx,583,ILI,SCUAN,EFVL,Choleric-Melancholic,135,41,53,35,27,26,31,19,30,16,12,13,15
Moses,intj,344,97%,58%,52%,58%,Ni,Te,Fi,Se,sp/so,496,SLI,RLOEI,EVLF,Melancholic [Dominant],168,27,24,15,8,7,25,19,12,8,5,2,17
Mehmed the Conqueror,intj,243,90%,98%,99%,97%,Ni,Te,Fi,Se,sx/sp,153,LSI,SCOEI,VFLE,Choleric-Melancholic,214,43,34,29,16,16,29,21,17,17,8,8,23
Matt Walsh,intj,212,97%,73%,99%,90%,Ni,Te,Fi,Se,so/sp,513,LSI,RCOEN,VLEF,Melancholic [Dominant],144,35,51,31,29,12,39,14,15,29,19,7,17
Herobrine,intj,245,84%,89%,94%,84%,Ni,Te,Fi,Se,sp/sx,854,SLE,RCOEI,VLEF,Phlegmatic-Choleric,171,33,33,18,22,16,46,21,20,9,11,8,16
Heraclitus,intj,212,99%,100%,99%,96%,Ni,Te,Fi,Se,sp/sx,514,ILI,RLOEI,LVFE,Melancholic [Dominant],199,37,34,48,17,27,29,30,25,48,16,15,18
Krystal (Jung Soo Jung),intj,337,100%,39%,68%,50%,Ni,Te,Fi,Se,sp/sx,641,LSI,RCOEN,EFVL,Melancholic-Phlegmatic,126,29,19,14,9,3,18,22,8,7,4,1,12
Hedy Lamarr,intj,266,94%,77%,97%,72%,Ni,Te,Fi,Se,sx/sp,584,ILE,RCOEI,VLFE,Choleric-Phlegmatic,181,22,24,24,10,7,20,11,20,15,5,5,13
New (The Boyz),intj,238,99%,96%,80%,82%,Ni,Te,Fi,Se,sx/so,964,ILI,RLOEI,VLEF,Melancholic-Choleric,181,54,27,8,13,12,26,29,14,6,13,6,23
Martin Heidegger,intj,263,97%,56%,92%,99%,Ni,Te,Fi,Se,sp/so,514,ILI,RLOEI,LEVF,Melancholic [Dominant],124,22,21,31,11,7,17,13,11,17,10,6,15
Im Changkyun “I.M” (Monsta X),intj,234,100%,89%,90%,80%,Ni,Te,Fi,Se,sp/sx,459,ILI,RLUAI,LFEV,Melancholic-Phlegmatic,178,39,34,17,9,3,31,32,16,9,7,2,17
Andrew Yang,intj,284,83%,95%,83%,80%,Ni,Te,Fi,Se,so/sp,153,LIE,SCOAI,FLVE,Choleric-Melancholic,205,22,18,22,6,6,18,19,10,17,5,5,8
SOPHIE (Sophie Xeon),intj,198,99%,96%,94%,94%,Ni,Te,Fi,Se,sp/sx,548,ILE,RLOEI,ELFV,Melancholic-Choleric,184,40,35,34,15,8,30,35,28,21,11,7,27
Woozi (SEVENTEEN),intj,259,98%,96%,83%,98%,Ni,Te,Fi,Se,so/sp,531,ILI,RCOEI,LVEF,Melancholic-Choleric,204,31,29,14,14,5,21,14,20,13,14,2,18
Kurzgesagt – In a nutshell,intj,244,93%,100%,73%,75%,Ni,Te,Fi,Se,so/sx,512,LII,RCOAI,LVFE,Phlegmatic-Melancholic,116,27,23,20,17,5,19,21,21,13,15,5,12
Lilith,intj,196,75%,78%,69%,77%,Ni,Te,Fi,Se,sx/sp,358,EIE,RCOEI,VLEF,Choleric-Phlegmatic,98,36,44,21,17,18,33,21,11,9,5,9,18
Odin,intj,225,85%,98%,97%,84%,Ni,Te,Fi,Se,sx/sp,548,ILI,RCOEI,LVEF,Melancholic-Choleric,168,29,32,24,12,11,28,16,21,18,6,8,21
Jodie Foster,intj,243,93%,94%,92%,94%,Ni,Te,Fi,Se,sx/sp,538,LII,RLOEI,FLVE,Melancholic-Choleric,201,29,24,25,8,3,20,18,9,11,4,3,14
GargamelVlog,intj,219,95%,100%,97%,74%,Ni,Te,Fi,Se,sx/sp,514,ILI,RLUEI,LVEF,Melancholic [Dominant],159,24,34,22,15,9,33,17,16,13,6,4,23
John Nash,intj,221,100%,99%,99%,83%,Ni,Te,Fi,Se,sp/sx,513,ILI,RLOEI,LVEF,Melancholic [Dominant],181,21,24,30,17,9,22,19,16,18,13,7,10
Christopher Guadalupe (AsuraPsych),intj,212,97%,100%,99%,96%,Ni,Te,Fi,Se,so/sp,531,ILI,RCOAI,VLEF,Melancholic-Phlegmatic,200,27,22,27,12,10,14,18,9,20,11,5,13
Nikolai Gogol,intj,200,85%,99%,68%,52%,Ni,Te,Fi,Se,sx/sp,548,ILI,RLUEI,ELVF,Melancholic [Dominant],97,30,27,20,10,7,39,18,20,8,9,6,32
Solomon,intj,212,77%,97%,90%,78%,Ni,Te,Fi,Se,sp/so,548,ILI,RCOEI,LVEF,Choleric-Melancholic,124,34,19,16,7,5,24,13,8,10,5,3,9
Martin Luther,intj,209,80%,95%,92%,91%,Ni,Te,Fi,Se,so/sp,162,LSI,RLOEI,VFLE,Choleric-Melancholic,153,22,20,24,10,9,21,17,10,19,9,5,16
J. Robert Oppenheimer,intj,194,96%,98%,95%,88%,Ni,Te,Fi,Se,sp/sx,541,ILE,RLOEI,LEVF,Melancholic [Dominant],157,24,27,21,17,9,20,18,17,14,15,7,8
The Slender Man,intj,200,91%,76%,90%,92%,Ni,Te,Fi,Se,sp/sx,853,LSI,RCOEI,VLFE,Phlegmatic-Choleric,125,24,21,14,18,9,39,16,9,11,16,6,19
Maynard James Keenan,intj,204,99%,92%,72%,87%,Ni,Te,Fi,Se,sp/sx,548,ILE,RCOEI,EVLF,Melancholic-Choleric,136,26,17,28,8,6,15,20,12,11,7,4,11
Alan Moore,intj,179,99%,99%,69%,72%,Ni,Te,Fi,Se,sp/sx,548,ILI,RLOEI,LVFE,Melancholic [Dominant],115,23,31,23,15,7,21,20,21,21,12,7,16
Kim Yo Jong,intj,222,86%,79%,89%,90%,Ni,Te,Fi,Se,sp/so,385,LSI,RCOEI,VLFE,Melancholic-Choleric,149,16,7,13,6,3,16,12,5,6,5,3,12
Hannibal,intj,198,84%,96%,98%,96%,Ni,Te,Fi,Se,sp/so,853,LSI,RCOEI,VFLE,Choleric-Melancholic,161,12,18,22,12,10,19,7,13,10,11,5,18
Isaac Asimov,intj,223,96%,97%,99%,89%,Ni,Te,Fi,Se,so/sp,531,LII,RCOEI,LVEF,Melancholic-Phlegmatic,192,17,13,17,9,5,7,14,10,15,8,2,6
"Josep ""Pep"" Guardiola",intj,208,88%,93%,97%,94%,Ni,Te,Fi,Se,sp/so,135,LSI,RCOEI,LVFE,Choleric-Phlegmatic,160,17,17,22,9,9,19,10,7,8,4,7,7
Siouxsie Sioux,intj,177,82%,98%,96%,72%,Ni,Te,Fi,Se,sp/sx,458,ILI,RLOEI,LFVE,Melancholic-Choleric,120,21,20,20,8,4,16,18,14,10,6,4,14
NicKr,intj,99,93%,74%,73%,70%,Ni,Te,Fi,Se,sp/so,593,ILI,RCOAI,LVFE,Phlegmatic-Melancholic,65,32,34,34,33,27,37,18,18,16,21,12,21
Russell Crowe,intj,187,93%,84%,91%,88%,Ni,Te,Fi,Se,sp/sx,863,SLE,RLOEI,LEVF,Choleric-Phlegmatic,146,20,17,16,12,5,14,13,9,11,10,3,12
Jerry Seinfeld,intj,236,81%,68%,84%,86%,Ni,Te,Fi,Se,sp/sx,631,LIE,RLOEI,LFVE,Phlegmatic-Sanguine,104,12,9,16,4,1,9,11,9,7,3,1,4
MamaMax,intj,118,98%,96%,91%,87%,Ni,Te,Fi,Se,sx/sp,548,IEI,RLOAI,LVEF,Melancholic-Choleric,99,32,33,27,19,14,23,17,13,17,11,9,21
Ouro Kronii,intj,154,98%,65%,99%,94%,Ni,Te,Fi,Se,sp/so,583,ILI,RCOEI,VLEF,Phlegmatic-Choleric,90,23,23,16,25,13,19,18,14,14,9,12,15
Donna Tartt,intj,180,97%,83%,78%,97%,Ni,Te,Fi,Se,sp/sx,541,IEI,RCOEI,LVEF,Melancholic [Dominant],115,17,15,14,7,1,16,12,8,7,4,1,13
XkcdHatGuy,intj,146,100%,100%,62%,84%,Ni,Te,Fi,Se,sp/so,594,ILI,RLUAI,LVEF,Melancholic-Phlegmatic,69,26,25,17,13,5,21,17,25,17,7,4,17
Alex J. O’Connor (CosmicSkeptic),intj,147,98%,96%,90%,75%,Ni,Te,Fi,Se,sp/so,513,LII,RCOAI,LVEF,Phlegmatic-Choleric,104,20,26,22,16,14,18,16,15,15,9,8,6
Julius Evola,intj,117,93%,97%,91%,94%,Ni,Te,Fi,Se,so/sx,514,EIE,RLOEI,VLEF,Choleric-Melancholic,104,26,35,33,13,11,21,18,19,12,13,6,13
John Adams,intj,135,84%,93%,99%,98%,Ni,Te,Fi,Se,sp/sx,638,ILI,RLOEI,LVEF,Choleric-Melancholic,108,24,24,25,12,5,20,19,11,14,9,3,16
Ali Khamenei,intj,264,59%,58%,86%,97%,Ni,Te,Fi,Se,so/sp,863,LSE,RCOEN,XXXX,Choleric-Phlegmatic,107,7,8,5,2,0,5,5,5,3,2,0,3
Christopher Hitchens,intj,146,87%,95%,96%,88%,Ni,Te,Fi,Se,sx/so,614,ILE,RLOEI,VFLE,Phlegmatic-Choleric,115,20,17,25,14,8,23,11,8,9,7,4,10
The Right Opinion,intj,149,100%,98%,97%,94%,Ni,Te,Fi,Se,so/sp,153,LII,RCOAI,LVEF,Melancholic [Dominant],134,26,15,17,7,7,8,19,15,15,6,4,7
Emily Brontë,intj,159,99%,97%,67%,73%,Ni,Te,Fi,Se,sx/sp,458,ILI,RLOEI,LEVF,Melancholic-Choleric,104,15,20,19,5,4,14,10,15,13,5,4,10
Qasem Soleimani,intj,183,87%,90%,91%,95%,Ni,Te,Fi,Se,sp/so,863,LSI,SCOEI,VFLE,Melancholic-Choleric,128,12,14,18,7,3,10,8,7,13,4,3,7
Ednaldo Pereira,intj,153,63%,66%,60%,65%,Ni,Te,Fi,Se,sx/sp,479,EIE,SCUAI,FELV,Sanguine [Dominant],81,22,18,14,9,6,20,11,6,8,4,4,14
Kelly Stamps,intj,155,82%,97%,99%,96%,Ni,Te,Fi,Se,sp/sx,359,LIE,RCOEI,FLVE,Phlegmatic-Melancholic,125,22,30,7,5,1,9,18,8,4,5,1,5
Dick Cheney,intj,174,55%,93%,99%,99%,Ni,Te,Fi,Se,sp/so,863,SLE,RCOEI,LFVE,Phlegmatic [Dominant],87,16,18,17,8,6,10,7,6,8,6,4,5
